DATA;TIME_MANDANTE;TIME_VISITANTE;VENCEDOR;PLACAR;RENDA;PUBLICO
14/04/2018;cruzeiro;gremio;gremio;0,1;R$ 428.305,00;15446
14/04/2018;vitoria;flamengo;empate;2,2;R$ 238.994,00;12669
14/04/2018;santos;ceara;santos;2,0;R$ 526.550,00;12268
15/04/2018;america-mg;sport;america-mg;3,0;R$ 36.293,00;3230
15/04/2018;internacional;bahia;internacional;2,0;R$ 796.275,00;18460
15/04/2018;vasco;atletico-mg;vasco;2,1;R$ 176.600,00;6349
15/04/2018;corinthians;fluminense;corinthians;2,1;R$ 1.372.018,07;28777
15/04/2018;atletico-pr;chapecoense;atletico-pr;5,1;R$ 130.015,00;8395
16/04/2018;botafogo;palmeiras;empate;1,1;R$ 207.880,00;7020
16/04/2018;sao-paulo;parana-clube;sao-paulo;1,0;R$ 338.295,00;11327
21/04/2018;bahia;santos;bahia;1,0;R$ 317.748,00;15558
21/04/2018;flamengo;america-mg;flamengo;2,0;R$ 1.641.395,00;47175
22/04/2018;parana-clube;corinthians;corinthians;0,4;R$ 632.120,00;15714
22/04/2018;atletico-mg;vitoria;atletico-mg;2,1;R$ 128.294,00;10423
22/04/2018;fluminense;cruzeiro;fluminense;1,0;R$ 263.145,00;8671
22/04/2018;chapecoense;vasco;empate;1,1;R$ 193.270,00;8075
22/04/2018;ceara;sao-paulo;empate;0,0;R$ 743.600,00;29186
22/04/2018;palmeiras;internacional;palmeiras;1,0;R$ 717.950,00;23236
22/04/2018;gremio;atletico-pr;empate;0,0;R$ 688.660,00;22049
23/04/2018;sport;botafogo;empate;1,1;R$ 101.020,00;5151
28/04/2018;botafogo;gremio;botafogo;2,1;R$ 248.845,00;8498
29/04/2018;ceara;flamengo;flamengo;0,3;R$ 1.636.169,00;51952
29/04/2018;fluminense;sao-paulo;empate;1,1;R$ 565.405,00;17211
29/04/2018;atletico-mg;corinthians;atletico-mg;1,0;R$ 598.085,00;19825
29/04/2018;parana-clube;sport;sport;1,2;R$ 172.105,00;7604
29/04/2018;bahia;atletico-pr;empate;0,0;R$ 312.815,00;16235
29/04/2018;palmeiras;chapecoense;empate;0,0;R$ 1.749.825,94;30671
29/04/2018;internacional;cruzeiro;empate;0,0;R$ 816.055,00;18445
30/04/2018;america-mg;vitoria;america-mg;2,1;R$ 60.890,00;5113
27/09/2018;santos;vasco;empate;1,1;R$ 318.336,50;11190
05/05/2018;sao-paulo;atletico-mg;empate;2,2;R$ 788.822,00;31976
05/05/2018;vasco;america-mg;vasco;4,1;R$ 91.950,00;3311
06/05/2018;corinthians;ceara;empate;1,1;R$ 2.416.706,37;40350
06/05/2018;flamengo;internacional;flamengo;2,0;R$ 1.415.585,00;55283
06/05/2018;cruzeiro;botafogo;cruzeiro;1,0;R$ 391.830,00;15792
06/05/2018;atletico-pr;palmeiras;palmeiras;1,3;R$ 733.565,00;19077
06/05/2018;vitoria;fluminense;fluminense;1,2;R$ 66.159,50;6652
06/05/2018;sport;bahia;sport;2,0;R$ 249.050,00;11699
06/05/2018;gremio;santos;gremio;5,1;R$ 822.996,00;25779
07/05/2018;chapecoense;parana-clube;empate;1,1;R$ 155.770,00;7288
12/05/2018;gremio;internacional;empate;0,0;R$ 2.094.717,00;48035
13/05/2018;cruzeiro;sport;cruzeiro;2,0;R$ 407.831,00;16303
